ADBE,거래소,기호,멕시코,부문,산업,소프트웨어와 프로그래밍,어도비 시스템즈,종목,테크놀로지
,심천,2521,,기초 소재,종이와 종이 제품,,,Qifeng Material A,
,심천,300718,,기초 소재,다종 조립 제품,,,Zhejiang Changsheng A,
,심천,2753,,기초 소재,화학제조,,,Shanxi Yongdong Chemistry,
,심천,700,,기초 소재,조립식 플라스틱과 고무,,,Mould Plastic A,
,상하이,600961,,기초 소재,다종 조립 제품,,,Zhuzhou Smelter,
,상하이,600328,,기초 소재,화학제조,,,Lantai Industrial,
,심천,2172,,기초 소재,화학 제품 – 플라스틱과 고무,,,Jiangsu Aoyang Technology Ltd,
,상하이,600985,,기초 소재,화학제조,,,Anhui Leimingkehua,
,심천,523,,기초 소재,화학제조,,,Lonkey A,
,상하이,603100,,기초 소재,다종 조립 제품,,,Chongqing Chuanyi Automation,
,심천,510,,기초 소재,화학 제품 – 플라스틱과 고무,,,Jinlu A,
,심천,2915,,기초 소재,화학제조,,,Zhejiang Zhongxin Fluoride A,
,심천,2037,,기초 소재,화학제조,,,Guizhou Jiulian A,
,심천,912,,기초 소재,화학제조,,,Lutianhua A,
